===== Aggregate Results =====
  j2j         : 0.0318
  j2b         : 0.0242
  b2b         : 0.0205
  iou         : 0.7857
  precision   : 0.8460
  recall      : 0.8436

  Evaluated : 1994
  Skipped   : 3
  Avg infer : 5.47s/sample

Per-sample results saved to: outputs/infer_results_xl\results.csv

===== Per-Category Results =====
category_label                                          j2j         j2b         b2b         iou   precision      recall     n
sculpture, mythical creature                       0.027542    0.021576    0.020353    0.860465    0.900000    0.925000     1
sculpture, mythical creature, miscellaneous        0.106506    0.086252    0.072270    0.186047    0.615385    0.210526     1
sculpture, toy                                     0.092163    0.077211    0.060938    0.250000    0.375000    0.428571     1
sporting goods                                     0.014008    0.009604    0.009396    1.000000    0.942308    0.981481     1
tool                                               0.057978    0.041962    0.037223    0.625842    0.681082    0.677022    30
tool, anthropomorphic                              0.073605    0.062175    0.050150    0.601803    0.650000    0.544118     2
tool, character, anthropomorphic                   0.078796    0.059701    0.054866    0.183099    0.538462    0.224138     1
toy                                                0.059299    0.049905    0.044013    0.555981    0.687784    0.725944     9
toy, accessory                                     0.339355    0.285943    0.308067    0.000000    0.000000    0.000000     1
toy, animal                                        0.053925    0.044896    0.042210    0.368132    0.555502    0.598974     2
toy, anthropomorphic                               0.030121    0.023073    0.018302    0.742457    0.854435    0.878361    19
toy, food                                          0.041199    0.031242    0.022790    0.483871    0.607143    0.833333     1
vehicle                                            0.047104    0.034718    0.029237    0.628845    0.746679    0.802939    10
weapon                                             0.070771    0.052757    0.042927    0.498007    0.572913    0.563321    42
weapon, miscellaneous                              0.059265    0.030372    0.031411    0.166667    0.333333    0.250000     1
weapon, musical instrument                         0.047943    0.036834    0.029034    0.375000    0.600000    0.500000     1
