uuid,category,j2j,j2b,b2b,iou,precision,recall,infer_time,gt_joints,gt_bones,pred_joints,pred_bones
0c7d1209-1cc2-501b-9fb7-399ef87b1027,character,0.0140380859375,0.01052080028073282,0.00828120989133816,1.0,1.0,1.0,3.749307632446289,22,21,22,21
bb310f80-ea84-536a-acbd-ab44b7be94e8,animal,0.007793426513671875,0.007023884613104206,0.007076866800373361,1.0,1.0,1.0,3.126201868057251,20,19,20,19
f3042930-db67-52fd-bd94-f439fc18dd06,character,0.0261077880859375,0.021103933559318683,0.009501393984641695,0.4230769230769231,0.5769230769230769,1.0,8.606173515319824,22,21,52,51
13107059-b898-5682-b5a2-c9ec330a1fa4,"character, anthropomorphic",0.0121002197265625,0.009817233075744601,0.008416822121446087,1.0,1.0,1.0,13.675713777542114,80,79,80,79
2094ec7e-b6c9-5150-9f84-fb3d0c9b06b5,"anthropomorphic, food",0.00748443603515625,0.006567113713114784,0.006040534511649834,1.0,1.0,1.0,6.358256101608276,40,39,40,39
3b7e6fde-99d9-593d-86eb-72cf7b458299,"character, anthropomorphic, toy",0.02008056640625,0.01605381821450993,0.015654282254183676,0.9230769230769231,1.0,0.96,8.455013513565063,50,49,50,49
b4e59d8a-9de7-5689-8896-5928b0b67db2,"character, anatomy",0.005950927734375,0.00463124120242686,0.00483015532343466,1.0,1.0,1.0,7.621789216995239,44,43,44,43
141060a6-d2ec-5b84-9125-07e5b561bb10,character,0.0290679931640625,0.017319952622029504,0.015844693847064113,0.6296296296296297,0.8181818181818182,0.7727272727272727,3.4009435176849365,22,21,22,21
c84cd5bc-6e68-50e4-b8e9-939dbbff52bb,animal,0.06866455078125,0.05418714991800404,0.04152932827122309,0.43333333333333335,0.42857142857142855,0.8666666666666667,5.141757249832153,15,14,28,27
ba781252-1380-5c50-84cf-27d5932ba967,"character, anthropomorphic",0.00782012939453125,0.005872158912914571,0.0052812594389300286,1.0,1.0,1.0,2.3433849811553955,16,15,16,15
10cfa57d-df5e-5fd0-971a-89351ae7592f,character,0.0112762451171875,0.007770637064022885,0.008225683898039817,1.0,1.0,1.0,9.284857273101807,52,51,52,51
22f3c3de-a079-55c3-8fb2-797f80905a56,"character, weapon",0.0083160400390625,0.0064508122197941475,0.006497778755950166,1.0,1.0,1.0,11.633090019226074,68,67,68,67
2f440256-09cf-5bc4-bac5-a988b3975a09,"toy, anthropomorphic",0.0269927978515625,0.021562662884575288,0.016522795319917984,0.5306122448979592,0.8936170212765957,0.9285714285714286,8.204702377319336,28,27,47,46
2c4768b4-82e8-5416-b929-e7e4e3d46ee0,plant,0.1058349609375,0.04155995723133308,0.026773322772996135,0.2222222222222222,0.6666666666666666,0.25,0.4571242332458496,8,7,3,2
0ef91d3e-0a33-55fd-8902-98d27b6dce40,"animal, anthropomorphic",0.00705718994140625,0.006147723984140214,0.00587447056906302,1.0,1.0,1.0,7.495565414428711,46,45,46,45
15ff9eca-ca1c-5428-8798-d20d5605bb98,"character, scanned data",0.008056640625,0.006820475477949915,0.006085550434596836,1.0256410256410255,1.0,1.0,13.522456645965576,80,79,78,79
44bd42eb-bc56-5ece-8bf9-02c0a946e4ea,character,0.015167236328125,0.011921805012379823,0.012423000083740126,1.0,1.0,1.0,8.706543445587158,52,51,52,51
e0f388c6-4c07-5e84-a0b4-9d05ad84c1b8,mythical creature,0.0306549072265625,0.02556264913200689,0.023604003257830047,0.7058823529411765,0.8275862068965517,0.8275862068965517,5.055989742279053,29,28,29,28
a22f10c6-2ab1-5055-9800-95f05b90a81b,character,0.00745391845703125,0.006269613313566777,0.00611965481611736,1.0,1.0,1.0,3.983348846435547,21,20,21,20
83aa7e70-f094-5fe8-8049-48dfddafdddd,animal,0.0086212158203125,0.007043471670891587,0.0053867511447187036,1.0,1.0,1.0,4.084840774536133,25,24,25,24
a255a5fb-7bcd-5d00-828f-3fc3aa4e842d,character,0.008209228515625,0.007433605985475761,0.006958411329380134,1.0,1.0,1.0,8.704098224639893,53,52,53,52
ecd05ad2-5aae-53ac-9bf1-86b1f610f120,"character, anthropomorphic",0.0145263671875,0.011745745702632853,0.01271546022780929,1.0,1.0,1.0,6.079709053039551,34,33,34,33
509496c2-7958-5368-bea9-523ab7dad6ad,character,0.03045654296875,0.02037091794250378,0.014303816386042318,0.9090909090909091,1.0,0.8695652173913043,3.687991142272949,23,22,19,18
4d9817b1-42e8-551c-96ad-3fc6033e3136,"mythical creature, anthropomorphic",0.01203155517578125,0.01085714828178323,0.009580079322795509,1.0,1.0,1.0,8.665790319442749,51,50,51,50
efebd00c-e4bc-59fa-87cc-1e85851f4a29,mythical creature,0.10821533203125,0.0902484459299143,0.09482553288284534,0.14285714285714285,0.23076923076923078,0.2727272727272727,2.7330541610717773,11,10,13,12
2e396d2b-5e12-5e70-b6c3-512f2582ad0a,character,0.0085296630859375,0.007056643168333993,0.007083162216260246,1.0,1.0,1.0,9.012566566467285,52,51,52,51
f2b9fdc4-d633-553f-a423-74e3d94dc15f,"toy, anthropomorphic",0.04681396484375,0.03572156280969616,0.033932296576302215,0.42857142857142855,0.782608695652174,0.5555555555555556,3.784644603729248,27,26,23,22
